#tileset
tileset2.bmp
8 32
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
45 	46 	127 	45 	55 	46 	3 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
50 	51 	119 	50 	34 	51 	87 	2 	2 	2 	2 	2 	2 	2 	2 	127 	45 	55 	55 	55 	55 	55 	55 	55 	55 	46 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	45 	55 	55 	55 	55 	55 	55 	55 	46 	127 	127 	33 	33 	44 	33 	33 	36 	33 	33 	33 	33 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	50 	34 	34 	34 	34 	34 	34 	34 	51 	119 	119 	33 	33 	33 	33 	33 	33 	33 	33 	33 	44 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	71 	2 	2 	2 	2 	2 	2 	50 	34 	34 	34 	34 	34 	34 	34 	34 	51 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	63 	2 	2 	63 	63 	63 	63 	63 	45 	55 	55 	55 	55 	55 	55 	46 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	72 	73 	67 	3 	3 	68 	73 	73 	73 	73 	73 	73 	73 	73 	67 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	33 	33 	33 	33 	44 	33 	33 	33 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	65 	65 	64 	3 	3 	66 	65 	65 	65 	65 	65 	91 	65 	65 	64 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	50 	34 	34 	34 	34 	34 	34 	51 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	99 	65 	64 	2 	3 	66 	65 	65 	65 	65 	65 	65 	65 	65 	64 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	87 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	65 	65 	64 	2 	3 	60 	57 	57 	57 	57 	57 	58 	65 	65 	64 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	87 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	45 	46 	2 	2 	2 	2 	2 	66 	65 	56 	57 	59 	2 	2 	2 	2 	2 	2 	2 	2 	60 	57 	57 	59 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	95 	95 	95 	95 	95 	95 	95 	87 	87 	87 	2 	2 	2 	2 	2 	2 	2 	44 	44 	2 	2 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	3 	3 	3 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	103 	2 	2 	2 	2 	2 	2 	2 	50 	51 	2 	2 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	3 	3 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	87 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	68 	73 	67 	2 	47 	
39 	2 	2 	2 	2 	95 	95 	95 	95 	95 	95 	95 	87 	87 	87 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	64 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	23 	2 	2 	2 	68 	73 	73 	73 	75 	73 	73 	73 	73 	73 	74 	65 	72 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	74 	65 	64 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	15 	3 	2 	2 	31 	2 	2 	2 	66 	65 	65 	65 	75 	76 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	64 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	23 	2 	2 	2 	60 	57 	58 	65 	75 	56 	57 	57 	57 	57 	58 	65 	56 	57 	57 	57 	57 	57 	57 	57 	57 	57 	57 	57 	57 	57 	57 	57 	59 	2 	47 	
39 	45 	55 	55 	55 	46 	127 	45 	55 	55 	55 	55 	55 	55 	55 	46 	3 	2 	2 	2 	2 	66 	65 	75 	64 	2 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	33 	33 	33 	44 	44 	127 	33 	33 	33 	33 	33 	33 	33 	33 	33 	2 	2 	2 	2 	2 	66 	65 	75 	72 	73 	73 	73 	73 	74 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	50 	34 	34 	34 	51 	119 	50 	34 	34 	34 	34 	34 	34 	34 	51 	71 	2 	2 	2 	2 	66 	65 	75 	76 	65 	65 	65 	65 	65 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	71 	2 	2 	2 	66 	65 	75 	92 	92 	92 	92 	76 	65 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	3 	71 	2 	2 	66 	65 	83 	100 	100 	100 	75 	76 	65 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
46 	127 	127 	45 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	46 	127 	45 	46 	2 	2 	66 	65 	65 	65 	65 	65 	75 	76 	65 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
33 	127 	127 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	127 	33 	33 	2 	2 	66 	65 	65 	65 	65 	65 	75 	76 	65 	65 	72 	67 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
33 	127 	127 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	127 	33 	33 	2 	2 	66 	65 	65 	65 	65 	65 	75 	76 	65 	65 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	126 	
33 	127 	127 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	127 	33 	33 	2 	68 	74 	65 	65 	65 	65 	65 	75 	76 	65 	65 	65 	64 	2 	2 	2 	2 	2 	2 	45 	55 	55 	55 	55 	55 	55 	46 	2 	2 	47 	
51 	119 	119 	50 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	51 	119 	50 	51 	2 	66 	65 	65 	65 	65 	65 	65 	75 	92 	92 	92 	92 	92 	2 	2 	2 	2 	2 	2 	33 	33 	33 	33 	33 	33 	33 	33 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	65 	99 	65 	65 	65 	83 	100 	100 	100 	100 	100 	67 	2 	2 	2 	2 	2 	50 	34 	34 	34 	34 	34 	34 	51 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	60 	58 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	65 	65 	65 	65 	65 	65 	65 	65 	56 	57 	59 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	60 	57 	57 	57 	57 	57 	57 	57 	58 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	47 	
39 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	66 	65 	64 	2 	45 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	46 	
87 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	68 	74 	65 	64 	2 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	
72 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	73 	74 	65 	65 	64 	95 	50 	34 	34 	34 	34 	34 	34 	35 	34 	34 	34 	34 	34 	34 	34 	34 	51 	
65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	65 	64 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	
0 	0 	0 	0 	0 	0 	2 	2 	2 	2 	2 	2 	0 	0 	0 	2 	2 	2 	2 	2 	2 	2 	2 	2 	0 	0 	0 	2 	2 	0 	2 	2 	0 	0 	0 	0 	2 	0 	2 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
